ID,DATE,NAME,SURNAME,PHONE,EMAIL,HEIGHT,WEIGHT,BMI
ŠG2552,2019/08/12,Švitrigaila,Gediminaitis,37061234567,svitged@gmail.com,178.0,80.0,25.24,
VD7941,2019/08/12,Vytautas,Didysis,37061234567,nuojurosikijuros@ldk.lt,165.0,68.0,24.98,
JG2848,2019/08/12,Jaunutis,Gediminaitos,37064567897,biskpavaldizua@vilnius.lt,190.0,90.0,24.93,
ET9378,2019/08/12,Elžbieta,Tiudor,37061234567,marriedtoengland@uk.co.com,150.0,50.0,22.22
BS893,2019/08/13,Bona,Sforza,37061234567,hatersgonnahate@plc.com,165.0,95.0,34.89
Ov7757,2019/08/13,Otas,von,37061234567,bloodandiron@imperial.deu,187.0,90.0,25.74
GV9257,2019/08/13,GustavasII,Vasa,37061234567,lionofthenorth@stormaktstiden.swe,175.0,80.0,26.12
MK513,2019/08/13,Mindaugas,Karalius,37061234567,vienintelis@ldk.lt,170.0,80.0,27.68
TS4377,2019/08/13,Test,Subject,37061234567,testsub@gmail.com,1.0,1.0,10000.0TT4153,2019/08/15,Test,Test,37061234567,test@test.com,190.0,90.0,24.93
ss2738,2019/08/15,sdf,sdf,37061234567,sdf@fg.com,190.0,90.0,24.93
LL4381,2019/08/19,Loki,Lokasenna,37061234567,baldursdod@mail.asg,190.0,95.0,26.32
LL8508,2019/08/19,Lalalala,Lalalalal,37061234567,lalalalal@gmail.com,150.0,50.0,22.22
